%eval_id interface          Swmin             nw             no            krw            kro least_sq_term_1 least_sq_term_2 least_sq_term_3 least_sq_term_4 least_sq_term_5 least_sq_term_6 least_sq_term_7 least_sq_term_8 least_sq_term_9 least_sq_term_10 least_sq_term_11 least_sq_term_12 least_sq_term_13 least_sq_term_14 least_sq_term_15 least_sq_term_16 least_sq_term_17 least_sq_term_18 least_sq_term_19 least_sq_term_20 
1            NO_ID           -0.1              6              6              1              1       0.158822         0.3109       0.118692      -0.095599      -0.053039      -0.052369       0.138191       0.313445      0.3334722       0.196451      0.3313605       0.281712      -0.165169      0.3316466       0.155562       0.250515       0.209034      -0.020979    0.336467189      -0.153169 
2            NO_ID -0.05373818339              1    1.577783627              1              1      -0.089065      0.0630262     -0.1291893     -0.3434667     -0.3009081       -0.30024     -0.1096784      0.0655616      0.0856068     -0.0514144      0.0834942      0.0338456     -0.4130381      0.0837717     -0.0923277      0.0026321     -0.0388666     -0.2688445    0.088601589      -0.401038 
3            NO_ID  -0.7880174865    5.559000102              7              0              1      -0.177689       -0.02561      -0.217819      -0.432109      -0.389549      -0.388879      -0.198319      -0.023066     -0.0030378      -0.140059     -0.0051495      -0.054798      -0.501679     -0.0048634      -0.180949      -0.085995      -0.127479      -0.357489    -4.2811e-05      -0.489679 
4            NO_ID          -0.01              1    1.577783627              1              1      -0.058589       0.093491      -0.098715      -0.313005      -0.270446      -0.269776      -0.079216       0.096041      0.1160672      -0.020954      0.1139555       0.064306      -0.382578      0.1142346      -0.061852         0.0331      -0.008374      -0.238383    0.119062189      -0.370575 
5            NO_ID          -0.01    1.094595059    1.577783627              0              1      -0.177689       -0.02561      -0.217819      -0.432109      -0.389549      -0.388879      -0.198319      -0.023066     -0.0030378      -0.140059     -0.0051495      -0.054798      -0.501679     -0.0048634      -0.180949      -0.085995      -0.127479      -0.357489    -4.2811e-05      -0.489679 
6            NO_ID          -0.01    1.611222877    6.008293727              1              1       -0.01989       0.132187      -0.060019      -0.274312      -0.231752      -0.231081      -0.040522       0.134736      0.1547602       0.017739      0.1526485          0.103      -0.343882      0.1529326       -0.02315       0.071801       0.030326      -0.199691    0.157755189      -0.331881 
7            NO_ID          -0.01    1.836963443     6.28521177              1              1       -0.00277       0.149307      -0.042899      -0.257191      -0.214631      -0.213961      -0.023402       0.151856      0.1718802       0.034859      0.1697685        0.12012      -0.326761      0.1700536       -0.00603       0.088922       0.047446      -0.182571    0.174875189      -0.314761 
8            NO_ID          -0.01    1.715738938    3.038293292              1              1       0.015522         0.1676      -0.024606      -0.238899      -0.196339      -0.195668      -0.005109        0.17015      0.1901742       0.053153      0.1880625       0.138413      -0.308469      0.1883446       0.012261       0.107212        0.06574      -0.164277    0.193168189      -0.296468 
9            NO_ID          -0.01    1.722498374    3.387673076              1              1        0.01255       0.164628      -0.027578      -0.241871      -0.199311       -0.19864      -0.008081       0.167178      0.1872012        0.05018      0.1850895       0.135441      -0.311441      0.1853726        0.00929       0.104241       0.062769       -0.16725    0.190196189       -0.29944 
10           NO_ID          -0.01    1.874953333              7  0.09260961582   0.8935477426       0.100255       0.252333       0.060125      -0.154166      -0.111606      -0.110936       0.079624       0.254879      0.2749052       0.137884      0.2727935       0.223145      -0.223736      0.2730796       0.096995       0.191947       0.150468      -0.079546    0.277900189      -0.211736 
11           NO_ID          -0.01     1.71642585    3.878231768   0.8808798771   0.9850204854       0.013062       0.165139      -0.027067      -0.241359      -0.198799      -0.198129      -0.007569       0.167689      0.1877132       0.050692      0.1856015       0.135952       -0.31093      0.1858846       0.009801       0.104753       0.063279      -0.166738    0.190707189      -0.298928 
12           NO_ID          -0.01    1.719649295    3.624434858   0.9420674741   0.9928800746       0.012734       0.164811      -0.027394      -0.241687      -0.199127      -0.198457      -0.007897       0.167361      0.1873852       0.050364      0.1852735       0.135624      -0.311258      0.1855566       0.009473       0.104424       0.062951      -0.167066    0.190380189      -0.299256 
13           NO_ID          -0.01    1.721148641    3.504481618   0.9709780993   0.9965936559       0.012654       0.164732      -0.027474      -0.241767      -0.199207      -0.198536      -0.007977       0.167282      0.1873052       0.050284      0.1851935       0.135545      -0.311337      0.1854776       0.009393       0.104345       0.062871      -0.167145    0.190300189      -0.299336 
14           NO_ID          -0.01    1.721880441    3.445140898   0.9853167307   0.9984212474       0.012627       0.164705      -0.027501      -0.241793      -0.199233      -0.198563      -0.008003       0.167255      0.1872792       0.050258      0.1851675       0.135519      -0.311363      0.1854506       0.009366       0.104318       0.062844      -0.167171    0.190274189      -0.299362 
15           NO_ID          -0.01    1.720829766    3.391003805   0.9858634468   0.9915200957       0.012663       0.164741      -0.027465      -0.241757      -0.199197      -0.198527      -0.007967       0.167291      0.1873152       0.050294      0.1852035       0.135554      -0.311328      0.1854866       0.009402       0.104354        0.06288      -0.167136    0.190310189      -0.299326 
16           NO_ID          -0.01    1.720491432    3.412034418    0.981352018   0.9895823182       0.012559       0.164636      -0.027569      -0.241862      -0.199302      -0.198632      -0.008072       0.167187      0.1872102       0.050189      0.1850985       0.135449      -0.311432      0.1853816       0.009298       0.104249       0.062777      -0.167241    0.190205189      -0.299431 
