(
//(sg	(krg	kro	dkrwdS	dkrodS))
(0.0	(0.0	1.0	0.0	0.0))
(0.025	(0.0	0.91253	0.0	-3.498800000000002))
(0.05	(0.0	0.830041	0.0	-3.299559999999997))
(0.075	(0.0	0.75241	0.0	-3.105240000000001))
(0.1	(1e-06	0.6795180000000001	3.999999999999998e-05	-2.9156799999999974))
(0.125	(7.000000000000001e-06	0.6112380000000001	0.0002400000000000001 -2.7312000000000007))
(0.15	(3.1e-05	0.5474479999999999	0.0009600000000000002	-2.5516000000000054))
(0.175	(9.300000000000001e-05	0.48802	0.0024800000000000013	-2.3771199999999975))
(0.2	(0.00023199999999999997	0.432827	0.005559999999999994	-2.207719999999998))
(0.225	(0.0005009999999999999	0.381737	0.010759999999999999	-2.0436000000000014))
(0.25	(0.000977	0.334621	0.01904000000000001	-1.88464))
(0.275	(0.00176	0.29134499999999997	0.03131999999999997	-1.73104))
(0.3	(0.00298	0.251773	0.048800000000000066	-1.5828799999999996))
(0.325	(0.0048	0.21576700000000001	0.07279999999999992	-1.440239999999999))
(0.35	(0.007416	0.18318800000000002	0.10464000000000015	-1.3031600000000017))
(0.375	(0.011065	0.153893	0.1459599999999999	-1.1717999999999995))
(0.4	(0.016028	0.127737	0.19851999999999984	-1.0462399999999996))
(0.425	(0.022631000000000002	0.104573	0.2641200000000004	-0.9265600000000008))
(0.45	(0.03125	0.084248	0.3447599999999996	-0.8129999999999991))
(0.475	(0.042315	0.066609	0.44260000000000055	-0.705560000000001))
(0.5	(0.056313999999999996	0.05149600000000001	0.5599599999999995	-0.6045199999999993))
(0.525	(0.07379400000000001	0.038745999999999996	0.6992	-0.51))
(0.55	(0.095367	0.028191	0.8629199999999985	-0.4221999999999994))
(0.575	(0.121716	0.019658000000000002	1.0539600000000042	-0.3413200000000012))
(0.6	(0.15359	0.012965	1.2749599999999988	-0.2677199999999998))
(0.625	(0.19181800000000002	0.007925	1.5291199999999991	-0.20159999999999986))
(0.65	(0.23730500000000002	0.004338	1.8194799999999984	-0.14347999999999986))
(0.675	(0.291038	0.001995	2.149319999999998	-0.09371999999999991))
(0.7	(0.354093	0.000668	2.5222000000000078	-0.05308000000000018))
(0.725	(0.42763100000000004	0.000103	2.9415199999999992	-0.022599999999999978))
(0.75	(0.5129090000000001	0.0	3.4111199999999977	-0.004119999999999996))
(0.775	(0.61128	0.0	3.934839999999996	0.0))
(0.8	(0.724196	0.0	4.516639999999992	0.0))
(0.825	(0.853215	0.0	5.160760000000018	0.0))
(0.85	(1.0	0.0	5.871399999999997	0.0))
)
