X "Sw"  "Sw"
0 0.793652  0.794622
1 0.792692  0.793764
2 0.791004  0.792252
3 0.789668  0.791049
4 0.788524  0.790017
5 0.787507  0.789099
6 0.786581  0.788262
7 0.785726  0.78749
8 0.784926  0.78677
9 0.784172  0.786092
10 0.783457  0.78545
11 0.782774  0.784838
12 0.78212  0.784253
13 0.781489  0.783692
14 0.780879  0.783152
15 0.780289  0.782629
16 0.779715  0.782125
17 0.779154  0.781635
18 0.778607  0.781159
19 0.778072  0.780695
20 0.777546  0.780243
21 0.777028  0.779803
22 0.776517  0.779372
23 0.776012  0.778949
24 0.775512  0.778536
25 0.775014  0.77813
26 0.774517  0.777731
27 0.77402  0.77734
28 0.773522  0.776954
29 0.77302  0.776573
30 0.772511  0.776199
31 0.771993  0.775828
32 0.771462  0.775461
33 0.770913  0.775099
34 0.770342  0.77474
35 0.769739  0.774383
36 0.769096  0.774028
37 0.768398  0.773675
38 0.767626  0.773323
39 0.766753  0.772969
40 0.765738  0.772616
41 0.764522  0.77226
42 0.763011  0.7719
43 0.761061  0.771535
44 0.758446  0.77116
45 0.75481  0.770775
46 0.749637  0.770375
47 0.742253  0.769952
48 0.731962  0.769498
49 0.718309  0.768999
50 0.701265  0.76843
51 0.681154  0.767751
52 0.658393  0.766883
53 0.63328  0.765648
54 0.605931  0.763542
55 0.576277  0.758167
56 0.54407  0.664038
57 0.508848  0.367922
58 0.469862  0.161013
59 0.425902  0.1601
60 0.374909  0.1601
61 0.313071  0.1601
62 0.232464  0.1601
63 0.173118  0.1601
64 0.160111  0.1601
65 0.1601  0.1601
66 0.1601  0.1601
67 0.1601  0.1601
68 0.1601  0.1601
69 0.1601  0.1601
70 0.1601  0.1601
71 0.1601  0.1601
72 0.1601  0.1601
73 0.1601  0.1601
74 0.1601  0.1601
75 0.1601  0.1601
76 0.1601  0.1601
77 0.1601  0.1601
78 0.1601  0.1601
79 0.1601  0.1601
80 0.1601  0.1601
81 0.1601  0.1601
82 0.1601  0.1601
83 0.1601  0.1601
84 0.1601  0.1601
85 0.1601  0.1601
86 0.1601  0.1601
87 0.1601  0.1601
88 0.1601  0.1601
89 0.1601  0.1601
90 0.1601  0.1601
91 0.1601  0.1601
92 0.1601  0.1601
93 0.1601  0.1601
94 0.1601  0.1601
95 0.1601  0.1601
96 0.1601  0.1601
97 0.1601  0.1601
98 0.1601  0.1601
99 0.1601  0.1601
100 0.1601  0.1601
