# Residuals  
# Time       	p            
0.00012      	1.000000e+00
0.000264     	1.239490e-01
0.0004368    	4.080780e-03
0.00064416   	4.443970e-04
0.000892992  	5.411270e-05
0.00119159   	9.181740e-06
0.00154991   	1.546530e-06
0.00197989   	6.001110e-07
0.00249587   	5.080680e-07
0.00311504   	5.805030e-07
0.00385805   	6.918320e-07
0.00474966   	8.295230e-07
0.00581959   	9.953190e-07
0.00710351   	1.194370e-06
0.00864421   	1.433240e-06
0.0104931    	1.719890e-06
0.0127117    	2.063870e-06
0.015374     	2.476650e-06
0.0185688    	2.971990e-06
0.0224026    	3.566390e-06
0.0270031    	4.279680e-06
0.0325237    	5.135630e-06
0.0391484    	6.162780e-06
0.0470981    	7.395370e-06
0.0566377    	8.874500e-06
0.0680853    	1.064950e-05
0.0818223    	1.277950e-05
0.0983068    	1.533550e-05
0.118088     	1.840280e-05
0.141826     	2.208370e-05
0.170311     	2.650080e-05
0.204493     	3.180160e-05
0.245512     	3.816280e-05
0.294734     	4.579670e-05
0.353801     	5.495790e-05
0.424681     	6.595220e-05
0.509737     	7.914650e-05
0.611804     	9.498140e-05
0.734284     	1.139860e-04
0.881261     	1.367940e-04
1.05763      	1.641700e-04
1.26928      	1.970270e-04
1.52325      	2.364670e-04
1.82802      	2.838100e-04
2.19374      	3.406430e-04
2.6326       	4.088750e-04
3.15924      	4.907970e-04
3.7912       	5.891700e-04
4.54954      	7.073130e-04
5.45955      	8.492180e-04
6.55155      	1.019700e-03
7.86193      	1.224550e-03
9.43439      	1.470800e-03
11.3213      	1.766880e-03
13.5856      	2.122900e-03
16.3026      	2.551060e-03
19.563       	3.066430e-03
23.4754      	3.687190e-03
28.17        	4.435440e-03
33.8034      	5.338290e-03
40.5635      	6.428870e-03
48.6754      	7.747890e-03
58.4095      	9.345790e-03
70.0899      	1.128500e-02
84.1045      	1.364320e-02
100.92       	1.652090e-02
121.098      	2.004450e-02
145.306      	2.437440e-02
174.348      	2.972290e-02
209.187      	3.637230e-02
250.987      	4.471310e-02
301.131      	5.526210e-02
361.298      	6.877910e-02
433.479      	8.632240e-02
520.051      	1.094620e-01
623.896      	1.405360e-01
748.39       	1.824750e-01
897.609      	2.363350e-01
1076.48      	2.803210e-01
1254.99      	2.103190e-01
1457.23      	7.396650e-02
1695.83      	3.272500e-02
1982         	4.168920e-02
2325.16      	5.223330e-02
2735.28      	6.502380e-02
3224.55      	1.111970e-01
3810.29      	1.500330e-01
4510.2       	2.002810e-01
5305.25      	2.284310e-01
5650.33      	1.553330e-01
6034.86      	6.498390e-02
6392.03      	5.030830e-02
6765.9       	3.260520e-02
7182.84      	3.907670e-02
7651.58      	4.796590e-02
8183.66      	5.976970e-02
8794.72      	7.575780e-02
9500.23      	9.600120e-02
10318.3      	1.197290e-01
11269.3      	1.404780e-01
12005.9      	1.296090e-01
12647.2      	1.099510e-01
13242        	8.795650e-02
13851.7      	7.701770e-02
14517.2      	6.342270e-02
15147.8      	5.942410e-02
15713.3      	5.751960e-02
16274.3      	6.196060e-02
16839.8      	7.122390e-02
17414.7      	7.637980e-02
18004.3      	8.162780e-02
18609.6      	8.713440e-02
19249.1      	8.927000e-02
19941.4      	8.863780e-02
20556.8      	7.847040e-02
21155.3      	8.190470e-02
21765.1      	8.608300e-02
22380.7      	8.240880e-02
22996.2      	7.382190e-02
23605.9      	7.852300e-02
24227.6      	9.577580e-02
24855.6      	9.856810e-02
25490.1      	9.361670e-02
26131.3      	8.699560e-02
26800.9      	8.272880e-02
27527.7      	6.777780e-02
28167.6      	4.975780e-02
28800.6      	5.373320e-02
29462.7      	6.176360e-02
30157        	7.086060e-02
30869        	7.960190e-02
31599.6      	8.893980e-02
32340.2      	9.715450e-02
33080.7      	1.032360e-01
33811.1      	1.047210e-01
34531.5      	1.023830e-01
35242        	9.827210e-02
35962.6      	9.843790e-02
36704.3      	9.898020e-02
37493.1      	9.087640e-02
38322.1      	7.171220e-02
39018.8      	5.874260e-02
39759.2      	5.951170e-02
40549.7      	6.877810e-02
41368.4      	7.780460e-02
42218.1      	8.753380e-02
43084.4      	9.694380e-02
43986.8      	1.082390e-01
44889.2      	1.160920e-01
45811.7      	1.219860e-01
46734.1      	1.172560e-01
47560.5      	9.906920e-02
48404.9      	9.629900e-02
49230.8      	8.823190e-02
50075.6      	8.048670e-02
50961.6      	8.182340e-02
51825.9      	7.820990e-02
52690.3      	7.433280e-02
53492.9      	7.075130e-02
54382.3      	8.164380e-02
55352.5      	9.619460e-02
56423.1      	1.115270e-01
57576        	1.220140e-01
58476.8      	1.036800e-01
59407.6      	1.039310e-01
60407.3      	1.000710e-01
61273.7      	9.143830e-02
62204.3      	9.650250e-02
63212.5      	9.826520e-02
64140        	8.525500e-02
64996.1      	7.830610e-02
65926.7      	8.884610e-02
66950.4      	9.777000e-02
68030.9      	1.003640e-01
68905.6      	8.719460e-02
69877.6      	9.236990e-02
70910.2      	9.098010e-02
71821.4      	8.209430e-02
72793.3      	9.145750e-02
73840        	9.973290e-02
74981.8      	1.012290e-01
75933.3      	8.750180e-02
76884.8      	9.074000e-02
77942.1      	1.011650e-01
78999.3      	1.008260e-01
80056.5      	9.762900e-02
80962.7      	8.702880e-02
81869        	9.075500e-02
82775.2      	9.231710e-02
83681.4      	8.793110e-02
84587.6      	7.858100e-02
85493.8      	6.680540e-02
86400        	6.482540e-02
87404.7      	7.417730e-02
88513.7      	8.713720e-02
89753.2      	1.018300e-01
91137.3      	1.125440e-01
92320.8      	9.847110e-02
93393.9      	9.650230e-02
94579        	1.101540e-01
