# Residuals  
# Time       	p            
0.00012      	1.000000e+00
0.000264     	2.247700e-01
0.0004368    	3.042620e-03
0.00064416   	2.102490e-04
0.000892992  	1.309810e-05
0.00119159   	1.455880e-06
0.00154991   	3.701320e-07
0.00197989   	3.341630e-07
0.00249587   	3.905000e-07
0.00311504   	4.676920e-07
0.00385805   	5.611480e-07
0.00474966   	6.733700e-07
0.00581959   	8.080430e-07
0.00710351   	9.696520e-07
0.00864421   	1.163580e-06
0.0104931    	1.396300e-06
0.0127117    	1.675560e-06
0.015374     	2.010670e-06
0.0185688    	2.412810e-06
0.0224026    	2.895380e-06
0.0270031    	3.474460e-06
0.0325237    	4.169370e-06
0.0391484    	5.003260e-06
0.0470981    	6.003940e-06
0.0566377    	7.204760e-06
0.0680853    	8.645770e-06
0.0818223    	1.037500e-05
0.0983068    	1.245010e-05
0.118088     	1.494030e-05
0.141826     	1.792860e-05
0.170311     	2.151470e-05
0.204493     	2.581810e-05
0.245512     	3.098250e-05
0.294734     	3.718000e-05
0.353801     	4.461750e-05
0.424681     	5.354310e-05
0.509737     	6.425480e-05
0.611804     	7.711030e-05
0.734284     	9.253870e-05
0.881261     	1.110560e-04
1.05763      	1.332800e-04
1.26928      	1.599550e-04
1.52325      	1.919730e-04
1.82802      	2.304070e-04
2.19374      	2.765450e-04
2.6326       	3.319360e-04
3.15924      	3.984390e-04
3.7912       	4.782960e-04
4.54954      	5.741990e-04
5.45955      	6.893860e-04
6.55155      	8.277600e-04
7.86193      	9.940270e-04
9.43439      	1.193870e-03
11.3213      	1.434120e-03
13.5856      	1.722980e-03
16.3026      	2.070330e-03
19.563       	2.488310e-03
23.4754      	2.991540e-03
28.17        	3.597750e-03
33.8034      	4.328530e-03
40.5635      	5.210040e-03
48.6754      	6.274010e-03
58.4095      	7.558930e-03
70.0899      	9.111010e-03
84.1045      	1.098480e-02
100.92       	1.324600e-02
121.098      	1.596650e-02
145.306      	1.921620e-02
174.348      	2.304650e-02
209.187      	2.744000e-02
250.987      	3.220030e-02
301.131      	3.667470e-02
361.298      	3.928740e-02
433.479      	3.684270e-02
520.051      	2.516040e-02
623.896      	6.105130e-03
748.39       	2.784170e-02
897.609      	4.547920e-02
1076.48      	5.552960e-02
1290.86      	6.235560e-02
1547.99      	6.869540e-02
1855.43      	7.453080e-02
2223.01      	7.740810e-02
2663.73      	7.036430e-02
3177.45      	4.225400e-02
3747.47      	4.593420e-02
4364.28      	6.739610e-02
5053.65      	8.055640e-02
5835.83      	8.661360e-02
6730.99      	8.235890e-02
7714.55      	6.583470e-02
8579.23      	4.821670e-02
9539.98      	6.149250e-02
10607.5      	7.936290e-02
11791.7      	8.807730e-02
13124        	7.671020e-02
14217.7      	5.439990e-02
15328.2      	5.445680e-02
16553.6      	6.342720e-02
17896.8      	7.605900e-02
19354.3      	7.625590e-02
20530.5      	5.778530e-02
21728.2      	5.707540e-02
23048        	5.992910e-02
24487.8      	6.451990e-02
26035.6      	6.643250e-02
27472.9      	5.941540e-02
28782.4      	6.056660e-02
30187.7      	6.326040e-02
31666.9      	6.283010e-02
33230.7      	6.028340e-02
34794.5      	5.373230e-02
36189.3      	5.142810e-02
37666.1      	6.073460e-02
39189        	6.558820e-02
40875.1      	6.507420e-02
42561.2      	5.322220e-02
44126.9      	4.962980e-02
45636.6      	5.274070e-02
47267.2      	5.978850e-02
48968.6      	6.517800e-02
